model,under_units,over_units,asymmetric_cost,service_hit_rate,asymmetric_cost_sl90_order,under_units_sl90,MAE,MASE,MAPE
sarimax_exog,39291.9978834645,506497.56030061626,663665.5518344743,0.875,866587.4815957888,0.0,68223.6947730101,1.7053713671174728,41.2692404234225
hw_mul_m13,163458.1201495685,16167.022520862229,669999.5031191362,0.125,356315.9072657795,22958.761780193512,22453.142833803842,0.561255836670344,11.909784951169417
hw_mul_m8,204362.10037125292,16629.98255238816,834078.3840373999,0.25,478052.0047178369,52738.835355738,27624.010365455135,0.6905107745768159,13.878871798468387
hw_mul_m26,221082.86641897823,20729.208704795805,905060.6743807087,0.125,256783.55257018312,30802.092184158915,30226.509390471754,0.7555648197290331,16.825616819593638
hw_mul,221082.86641897823,20729.208704795805,905060.6743807087,0.125,256783.55257018312,30802.092184158915,30226.509390471754,0.7555648197290331,16.825616819593638
timesfm_zeroshot,237990.59375,15864.984375,967827.359375,0.25,380749.40625,28679.140625,31731.947265625,0.7931958899283588,16.879359317425823
smart_stack,242837.53330697963,4655.381603644346,976005.5148315629,0.125,294311.9065108072,28513.83683688054,30936.614363827997,0.7733151437658446,16.818331157318905
hw_mul_m4,268739.2103107733,0.0,1074956.8412430931,0.0,393091.7277699045,49374.82165416138,33592.40128884666,0.839701213798562,17.488715852347074
hw_log1p,295368.7862142511,0.0,1181475.1448570043,0.0,228368.578928637,26020.46608725167,36921.098276781384,0.9229078555953911,20.700655902991556
hierarchy_bottom_up,404993.0,0.0,1619972.0,0.0,1091703.1064793551,269666.46129587106,50624.125,1.265439134418295,28.432257579783894
hgb_lags_exog,471956.27050062054,0.0,1887825.0820024821,0.0,1191314.792184316,295843.3583715293,58994.53381257757,1.474672239830298,31.554298885964627
seasonal_naive,724855.0,0.0,2899420.0,0.0,380947.7684642895,78659.47219898121,90606.875,2.2648783652526663,51.957154305929144
