model,MAE,MASE,MAPE,asymmetric_cost
hw_mul_m8,19710.012843316938,0.4266045743996833,18.06747369783898,485127.43410716025
timesfm_zeroshot,20516.9990234375,0.4434068483785049,19.930571168718313,496074.6953125
hw_mul_m4,20755.81181450082,0.4529757035870228,17.410383494249604,627423.5770342983
hw_mul_m13,22552.15660471951,0.4794934333419289,22.05469712754375,556063.0204326778
bu_country,29044.65590476374,0.6116835543602405,32.086245174681046,591108.4150616827
hw_mul_m26,31233.55723543858,0.6645701139127805,33.018580480668575,732708.6989549669
bu_country_blend50,31427.07660804038,0.6683868619600539,33.36963800977523,736579.0864070026
bu_country_volscaled,31620.59598064217,0.6722036100073273,33.72069553888188,740449.4738590386
hw_mul_plus_calendar_resid,39121.778949263105,0.829073365909695,41.54688686671735,1043545.4582434226
