,MAE,RMSE,MAPE,sMAPE,MASE,bias,kind,val_MAE,PI_coverage
holt_winters_mul_m52,48.12050173219734,61.40161768448747,11.436881753038975,11.522237437504653,0.8034462974111838,-13.815089492402333,classical,67.60346475870627,0.625
holt_winters_mul_m26,54.25041987272961,72.05797952440815,13.072435169939048,13.515688547847216,0.905794773760277,-27.334573221146215,classical,48.29344148050534,0.75
holt_winters_add_m52,57.5651952419563,78.77737073142464,12.977325593854069,13.845948705585526,0.9611400819197097,-40.69283834731006,classical,67.20237258381528,0.5
timesfm_2p5_zeroshot,78.84341049194336,93.5035090662995,18.39434959572001,19.794483454920403,1.316412837662434,-57.235530853271484,foundation,68.11981201171875,0.875
seasonal_naive_m52,80.0,119.28851579259421,17.157823686026656,20.71812841253387,1.3357238906320037,-78.75,classical,97.75,0.625
holt_winters_mul_m13,81.64400900753665,97.32224702235823,23.589638878961523,21.21872644963388,1.363173166979265,12.450768133561148,classical,75.42674594124185,0.375
ensemble_inv_val_mae,83.22601385214728,95.76504112907077,20.45301525770223,21.4338273381009,1.3895871878047898,-49.6621326101988,ensemble,,0.625
holt_winters_add_m26,84.95814475143581,101.14057651600702,20.378761647885295,21.77744102124329,1.4185077956033096,-54.5733077831738,classical,64.75567274051335,0.625
holt_winters_mul_m8,87.75066045006253,101.50778308991252,23.845193321783917,22.925065776619743,1.4651331697735674,-24.291951154186307,classical,119.36347777330516,0.375
holt_winters_add_m8,98.93958657063598,113.34874178902874,25.270070198768863,25.852092513905895,1.651949618895648,-49.86670919874404,classical,106.1568972732087,0.5
holt_winters_add_m13,98.97381488946894,111.02714421698701,26.471036530300207,25.915147898697306,1.6525211136856648,-31.6180601660661,classical,65.84528160273717,0.5
holt_winters_add_m4,104.8437423459487,119.4498216014711,26.611301277699706,27.488965843463987,1.7505286429343743,-55.211094689509416,classical,101.93577753457997,0.5
holt_winters_mul_m4,106.60196574902768,119.63037100210524,27.271190572940096,27.990811744855094,1.7798849054913857,-54.969063236222226,classical,102.45115630155225,0.5
auto_arima_m4,123.97346567297866,149.6142254171035,27.179668391146482,33.07187410398433,2.0699289987980527,-118.80277011493283,classical,68.15240701789065,0.375
seasonal_naive_m4,177.125,190.81895870169714,45.44359406291684,52.91916203588814,2.9573761766024207,-126.125,classical,92.25,0.25
